Shade,Dominant LAB,Corrected LAB
7.2,"18.03, 10.32, -0.8","32.59, 4.55, 4.13"
7.3,"26.07, 9.63, 9.17","40.69, 4.43, 14.16"
7.5,"13.85, 16.62, 2.63","28.72, 12.18, 6.74"
7.6,"24.32, 32.0, 10.0","39.24, 28.13, 13.94"
7.7,"23.56, 4.81, 4.58","38.06, -1.03, 9.84"
7.8,"20.85, 7.92, -1.82","35.27, 1.53, 3.51"
7.9,"15.44, 7.77, 1.6","30.13, 2.58, 6.24"
8.1,"34.27, 6.79, 0.6","48.33, -0.90, 6.97"
8.2,"31.87, 13.41, 1.96","46.11, 6.52, 7.78"
8.3,"37.75, 10.8, 14.94","52.19, 5.14, 20.51"
8.4,"21.68, 21.58, 15.58","36.76, 18.46, 19.31"
8.5,"32.82, 23.92, 1.04","47.11, 17.23, 6.61"
8.6,"29.92, 30.42, 4.11","44.47, 24.86, 8.99"
8.7,"37.02, 8.07, 6.02","51.17, 0.96, 12.22"
8.8,"30.17, 10.34, 0.61","44.39, 3.31, 6.49"
8.9,"21.11, 10.9, 1.64","35.66, 5.17, 6.65"
9.1,"38.19, 7.14, -1.33","52.07, -1.32, 5.49"
9.1,"43.65, 10.03, -3.04","57.33, 0.75, 4.26"
9.2,"39.38, 16.84, 0.64","53.38, 8.97, 7.07"
9.3,"63.27, 6.28, 19.44","77.00, -1.99, 27.07"
9.3,"36.19, 14.63, 11.74","50.62, 8.82, 17.24"
9.4,"48.19, 20.7, 19.23","62.54, 14.88, 25.04"
9.5,"46.77, 22.92, 3.24","60.68, 14.83, 9.91"
9.6,"46.04, 30.59, 6.38","60.15, 23.43, 12.49"
9.7,"51.16, 6.5, 7.82","64.91, -2.12, 15.18"
9.8,"40.57, 14.59, 1.1","54.52, 6.55, 7.69"
9.9,"39.7, 16.88, 6.97","53.89, 9.98, 13.01"
10.1,"49.76, 6.58, -4.38","63.17, -3.81, 3.66"
10.2,"57.57, 17.65, 0.64","71.01, 7.59, 8.61"
10.3,"70.88, 6.97, 17.66","84.32, -2.48, 26.04"
10.4,"62.17, 14.58, 21.9","76.10, 7.21, 28.96"
10.5,"56.25, 23.39, 6.88","69.98, 14.74, 14.10"
10.8,"38.09, 10.69, 1.56","52.10, 2.86, 8.05"
10.9,"36.77, 10.48, 7.73","51.01, 3.78, 13.70"
